sentence;precision;complexity;clearness;grammaticality
"Sie sagten: Gehen Sie nicht mit diesem Hut nach draußen.""";-2,01;-1,89;-1,95;-1,45
"Warren hat geantwortet, dass es an der Zeit ist "" für Frauen, nach Washington zu gehen, um unsere kaputte Regierung zu reparieren, und das beinhaltet eine Frau an der Spitze.""";-0,48;0,45;0,32;-0,20
„Hans“ Geiger starb 1945, nur wenige Tage vor seinem 63. Geburtstag.;-2,18;-1,90;-1,83;-2,05
„So oft spreche ich mit einer weißen Person und sie sagen: „Wie könntest du Trump mögen, er ist rassistisch?“;-0,04;-0,46;0,28;0,78
Anfang 2018 zitierte die Gruppe 390 Zusagen und Ankündigungen aus ihren Maßnahmen, von denen mindestens 10 Mrd. USD bereits ausgezahlt oder gesammelt wurden.;-0,04;-0,09;0,21;-0,68
Bats sind nicht wirklich blind.;-1,49;-2,27;-1,45;-1,63
Bewohner wurden dabei beobachtet, wie sie in ihre zerstörten Häuser zurückkehrten, Staunässe durchwühlten und versuchten, alles zu retten, was sie finden konnten.;-1,11;-0,45;-0,55;-1,72
BMW zum Beispiel sagt, dass es sein Mini-Werk in Oxford für einen Monat nach dem Brexit schließen wird.;-1,66;-1,16;-1,33;-1,56
Christion Abercrombie unternimmt Notoperation nach erlittener Kopfverletzung;-0,57;-1,40;-0,58;-0,38
Climo verwandelte, wie schon fast vom Neustart an, nachdem Kyle Rowe David Armstrongs Box Kick gesammelt und Flanker Gregor Henry für den fünften Versuch der Heimmannschaft weggeschickt hatte.;0,77;1,84;1,82;0,41
Das Finanzministerium geht davon aus, dass sich der Schritt auf 120 Millionen Pfund pro Jahr erhöhen wird.;-1,58;-1,29;-1,45;-1,88
Das war das erste mal, dass die Navy nach der Lieferung ein Schiff zu einer werft zurück gebracht hat.;-1,39;-1,32;-1,33;0,13
Der 6-Fuß-6-Stürmer wuchs in Baton Rouge auf, wo sein Vater Wayne ebenfalls für die LSU spielte.;-1,35;-0,94;-0,65;-0,93
Der Fall liegt derzeit vor Alaska 's Veteran' s Court.;-1,58;-1,66;-1,57;-0,53
Der Schauspieler hat kürzlich verraten, dass er es für das Beste hält, seine Frau Rose zu treffen, um aus Game of Thrones herauszukommen.;-1,03;-0,01;-0,67;-1,76
Die Labour Party wäre nicht die erste, die eine solche Idee befürwortet, mit der grünen Party, die eine vier-Tage-Arbeitswoche während ihrer 2017 allgemeinen Wahlkampagne geschworen hat.;0,25;1,20;1,12;0,60
Die Labour-Partei ist keine breite Kirche mehr.;-0,55;-1,05;-0,28;-1,08
Die Stadt Palu mit mehr als 380.000 Einwohnern war mit Trümmern eingestürzter Gebäude übersät.;-2,17;-1,90;-1,95;-1,69
Du gehst morgen voll in die Langeweile.;0,38;-1,62;0,38;0,69
Er bietet viel mehr als nur Spielplatz .;0,56;-1,22;-0,18;0,55
Er erklärte den Ermittlern, dass er sich gut fühlte über das, was er getan hatte, sagte die Polizei.;-0,44;0,45;0,02;-0,02
Er stellte fest , dass Kim an einer zweiten Sitzung interessiert ist , nachdem das erste Treffen in Singapur im Juni von Trumpf als großer Schritt hin zur Verleuuchung der Nordko-Korea.;0,79;1,13;1,45;1,37
Er wurde am Montag in Wasilla, Alaska, verhaftet und wegen Körperverletzung wegen Gewalttätigkeit gegen eine Frau angeklagt, wobei er Berichten zufolge über häusliche Gewalt und den Besitz einer Waffe beraubt wurde.;0,60;1,40;1,50;1,24
 es gab keine Zeit, uns zu retten.;-1,49;-1,53;-1,85;-0,56
Fünf der Opfer waren Touristen aus Argentinien.;-2,23;-2,26;-2,19;-2,41
Geht es in den Donnerstag, ist es eine weitere große europäische Nacht.;0,40;-0,33;0,34;0,17
Harvard-Studenten nehmen Kurs darauf, genug Ruhe zu bekommen;-0,51;-0,78;-0,28;-0,50
 ich meine natürlich, sagte Kennedy.;0,40;-1,30;0,04;-0,15
Ich wollte mein Land als Spielerspielerin spielen .;0,71;-0,38;1,39;0,91
Ihre Zurückhaltung ist alles auf das Timing zurückzuführen.;0,00;-0,98;0,11;0,66
Indonesiens Agentur für die Bewertung und Anwendung von Technologie (BPPT) erklärte in einer Stellungnahme, die Energie, die durch das massive Beben am Freitag freigesetzt wurde, sei etwa 200 Mal so stark wie die Atombombe, die im Zweiten Weltkrieg über Hiroshima abgeworfen wurde.;-2,05;0,01;-1,12;-2,01
Jedenfalls hat der poppige, gummigesichtige, inkompetente Johnny English seine Lizenz zum zweiten Mal verlängert bekommen – dieser Name signalisiert mehr als alles andere, dass er eine breite Comic-Schöpfung ist, die für nicht-englischsprachige Kinogebiete konzipiert wurde.;-1,00;0,84;0,83;-1,39
Livingston verpasst Chancen gegen stumpfe Gäste;0,45;-0,52;0,74;0,36
Methode besteht darin, Immunzellen von einem Patienten zu extrahieren, sie im Labor zu verändern;-0,29;-0,11;0,03;1,14
Obwohl es selten ist, wurden Fälle von Schweinen, die Menschen angreifen, zuvor aufgenommen.;-1,00;-0,10;-0,30;-0,74
Ryder Cup 2018: Team USA zeigt Magen für Kampf um die Hoffnung im Einzel am Sonntag;1,03;0,96;1,96;0,98
Seine Nachrichten führten jedoch nur zu einem grauen Häkchen und nicht zu einem blauen Haken.;-0,46;-0,87;-0,32;-1,27
Um 6 Uhr morgens, gerade als Gegard Mousasi und Rory MacDonald sich darauf vorbereiteten, einander gegenüberzutreten, waren die Zuschauer im Vereinigten Königreich fassungslos, als die Berichterstattung auf Peppa Pig umgestellt wurde.;-1,49;0,11;-0,26;-1,52
Und ich tat. ;0,22;-2,09;-0,58;0,47
Und weit davon entfernt, boliviens Sache zu fördern, haben die letzten vier Jahre es vielleicht wieder geschafft.;1,08;0,42;0,93;0,51
Versuchen Sie die Liebe „.;0,24;-1,53;0,00;0,17
Wir haben ein Ziel, und das ist zu versuchen, diese Trophäe zu gewinnen, und das ist, wo der Fokus bleibt.;0,10;1,36;1,09;0,88
Zwanzig Prozent der Schüler gaben an, ein desinfiziertes „Hauptkonto“ zu betreiben, um den Eltern zu zeigen, aber auch ein privates zu haben.;0,15;0,42;1,15;0,94
Der Sicherheitsrat hat die Sanktionen gegen Nordkorea seit 2006 einstimmig verschärft, um die Finanzierung von Pjöngjangs Atom- und ballistischen Raketenprogrammen abzuwürgen.;-1,29;0,76;0,12;-1,71
Die Senatorin von Massachusetts, Elizabeth Warren, sagte am Samstag, sie werde nach den Zwischenwahlen einen „harten Blick“ darauf werfen, für das Präsidentenamt zu kandidieren.;-0,82;0,29;-0,18;-0,53
Wenn das Vereinigte Königreich die EU am 29. März ohne ein Abkommen verlässt, könnte es an der Grenze zu Störungen kommen, die nach Ansicht der Industrie zu Verzögerungen und Teileknappheit führen können.;-1,47;-0,18;-0,59;-1,65
Die Fluggesellschaft sagte, es arbeite mit lokalen Behörden, Krankenhäusern und Ermittlern, um den Mann zu finden.;-0,59;-1,41;-0,71;0,65
Er sagte, der Kurs habe seine Augen geöffnet und ihn dazu inspiriert, sich für einen campusweiten Kurs einzusetzen.;-0,88;-0,82;-0,82;-2,06
Etwa die Hälfte der Personen in der landesweiten Studie gab an, mit ihren Ehepartnern über die Kosten der Langzeitpflege zu sprechen.;-1,88;-1,24;-1,41;-1,71
Am Saturdaytag wurde ein kleiner Junge aus einer Brauerei gezüchtet .;1,35;0,00;1,76;0,35
Seit Kim Jong-un vor sieben Jahren an die Macht kam, ist die Zahl der nordkoreanischen Überläufer nach Südkorea gesunken, sagte ein südkoreanischer Abgeordneter.;-1,53;-0,94;-1,35;-2,24
Die Abteilung beruft sich darauf , dass die staatliche Polizeipolizei Louisiana forceforceorientiert , die staatliche Polizeikriminalität , die Polizeipolizei der Süduniversität und die Staatsbürgerinnen in den Ermittlungen , die zu Beginn des Wiederauffüllungsprozesses führen .;2,12;2,41;2,76;2,53
Sicher ist, dass der Konflikt der Mitte des 17. Jahrhunderts die nachfolgende Entwicklung unserer Nation geprägt hat, und Cromwell ist eine individuelle erkennbare Figur, die eine Seite dieser Kluft repräsentiert.;0,41;1,18;0,82;-0,18
MMA-Fans blieben die ganze Nacht wach, um Geräusch 206 zu sehen, sie haben stattdessen Peppa-Schwein;1,82;0,18;2,00;1,59
Ich für meinen Teil werde Super Mario nie wieder auf dieselbe Weise betrachten.;-1,82;-2,29;-2,00;-1,65
Von der Pole aus erwischte Bottas einen guten Start und hängte Hamilton fast zum Trocknen ab, als er seine Position in den ersten beiden Kurven verteidigte und Vettel einlud, seinen Teamkollegen anzugreifen.;0,47;0,71;1,29;0,06
Für Überlebende war die Lage immer mehr .;1,53;-1,35;1,41;1,35
"Von Paddington, den Sie als ""sehr wichtiges Mitglied unserer Familie"" beschreibt, fügte sie hinzu, dass ihr Vater leise stolz auf seinen möglichen Erfolg war.";1,06;1,35;1,76;1,06
Für die letzte Sequenz sind sicherlich alle Haltestellen gezogen, aber so liebenswürdig und ausgelassen wie es ist, so gibt es doch ein bisschen Kinderfernsehen über das Ganze.;1,71;1,18;2,00;0,47
Es verfügt über zehn ausgebildete Experten, die regelmäßig Umfragen durchführen, Kontrollen durchführen und manchmal Rettungen durchführen.;-1,78;0,11;-0,94;-1,50
Ich bin nicht durchgesickert „.;0,72;-1,44;0,94;-0,11
Was ist das Global Citizen Festival und Hat Done Anything to Deckes Povertyp ?;1,61;1,44;2,39;1,67
Der drei-fache Major Gewinner Jordan Spieth und Justin Thomas setzen den Maßstab für die Amerikaner mit zwei Punkten am Samstag.;-1,44;-0,78;-0,78;-1,06
Das ist viel Elend , und ich meine nicht , dass Herr Trumpsäcks Sturz unvermeidlich ist - auch nicht von seinen Äquivalenten in Europa .;0,39;1,00;1,06;0,22
Die Stadt feierte ihren 40. Geburtstag, als das Beben und der Tsunami einschlugen.;-2,44;-2,50;-2,44;-2,11
Die Wähler werden am Sonntag darüber abstimmen, ob sie den Namen ihres Landes in „Republik Nordmakedonien“ ändern wollen.;-2,67;-2,50;-2,61;-2,67
Nach drei einseitigen Sessions könnten die Foursomes am Samstagnachmittag genau das gewesen sein, was dieser Ryder Cup brauchte.;-1,39;-1,00;-1,17;-2,06
Die Abteilung beruft sich darauf , dass die staatliche Polizeipolizei Louisiana forceforceorientiert , die staatliche Polizeikriminalität , die Polizeipolizei der Süduniversität und die Staatsbürgerinnen in den Ermittlungen , die zu Beginn des Wiederauffüllungsprozesses führen .;2,22;2,61;2,61;2,39
Und das bedeutet, unseren kaputten Immobilienmarkt zu fixieren.;-1,50;-1,94;-1,39;-1,56
Wir haben auch in speziell ausgebildete Kollegen investiert, die auf der Hand stehen werden, um Rat zu bieten.;-0,11;-0,22;0,67;0,17
Als Senior im Gleitschirmfliegen habe ich meine eigene emotionale Belastung, sagte er.;-2,06;-2,11;-1,89;-1,67
Mit Nordkorea geht es uns gut, sagte er.;-2,28;-2,61;-2,50;-2,50
Er ist ein Hall of Famer und er hat diesen Teams in der Vergangenheit so viel hinzugefügt, und diese Woche.;0,78;0,44;1,44;1,33
"Kit, der vor kurzem seinen 31-jährigen Star of Game of Thrones, Rose Leslie, geheiratet hatte, gab zu, er fühle sich ""ziemlich stark"", wenn er sich mit dem Thema befasse.";-0,44;0,56;0,56;-0,44
Großbritannien ist immer offen für Menschen, die hier leben, arbeiten und ein Leben aufbauen wollen.;-2,72;-2,50;-2,67;-2,67
Die Abteilung beruft sich darauf , dass die staatliche Polizeipolizei Louisiana forceforceorientiert , die staatliche Polizeikriminalität , die Polizeipolizei der Süduniversität und die Staatsbürgerinnen in den Ermittlungen , die zu Beginn des Wiederauffüllungsprozesses führen .;1,63;2,38;2,69;1,81
ich habe wirklich geglaubt, dass Management die richtige Passform für mich ist, mehr als spielen.;1,11;0,89;1,44;0,61
Der nächste Schuh, den man fallen lassen könnte, könnte der Bericht des Sonderermittlers Robert Mueller über Trumps mögliche Behinderung der Justiz sein, für den es nun sehr substanzielle Beweise in den öffentlichen Akten gibt.;-0,95;1,26;0,42;-1,16
Ich möchte nicht, dass sich ein Elternteil so fühlt, wie ich mich jeden Tag fühlen muss, sagte sie.;-1,82;-1,24;-1,65;-2,12
Sie verwenden eine ausgeklügelte Echoortungstechnik, um Fehler und Hindernisse auf ihrer Flugbahn zu lokalisieren.;-2,00;-0,83;-1,61;-2,44
Ich liebte Johnny English nähert sich einem Hubschrauber, während in einem mittelalterlichen Anzug der Rüstung und die Rotorblätter kurz klirrend gegen seinen Helm gekleidet.;2,06;2,06;2,33;2,61
Warum Trumpf in einem zweiten Term;2,06;0,33;1,83;1,89
Er sagte auch, immer ein Elternteil machte ihn weniger über den Gewinn der Olympischen Spiele kümmern.;1,94;1,44;2,39;2,50
Sanders sagte, die Knappheit an Briefings sei nicht auf eine Abneigung gegen die „Tribüne“ der TV-Reporter zurückzuführen, obwohl sie sagte: „Ich werde der Tatsache nicht widersprechen, dass sie Tribüne sind“.;0,50;2,11;1,83;-0,33
Die Abteilung beruft sich darauf , dass die staatliche Polizeipolizei Louisiana forceforceorientiert , die staatliche Polizeikriminalität , die Polizeipolizei der Süduniversität und die Staatsbürgerinnen in den Ermittlungen , die zu Beginn des Wiederauffüllungsprozesses führen .;1,83;2,61;2,83;2,33
Wenn Sie direkt mit Menschen aus dem Ausland kommunizieren können, wird automatisch eine mehrsprachige Person vor dem Wettbewerb stehen.;0,56;0,11;0,94;-0,39
Einer von fünf Kindern hat geheime Social-Media-Konten, die sie sich von ihren Eltern verstecken;0,78;-0,33;0,17;1,50
"Unser Sortiment an Marken ist für jeden Bedarf geeignet und die betörend Umgebung und die bequemen Locations bedeuten, dass wir jetzt ein Überzeugendes Beauty-Ziel sind, das die alte Art des Shopping herausfordert.""";0,33;1,44;0,94;0,67
Geiger entwickelte eine Methode zur Erkennung und Messung von Radioaktivität, eine Erfindung, die schließlich zu dem Gerät geführt wurde, das als Geiger-Zähler bekannt ist.;-1,78;-0,50;-1,28;-1,11
Wir haben unser Line-Up entsprechend zusammengestellt und die Jungs auf die Art und Weise rausgebracht, wie wir uns gefühlt haben, weißt du, wir versuchen, morgen etwas Magie zu erzeugen „.;0,50;0,22;0,33;0,33
„Sie bat mich, sie vertraulich zu behandeln, und ich habe sie vertraulich behandelt, wie sie es verlangte“.;-0,89;-0,78;-0,89;-0,72
Ein Fan auf Twitter beschrieb den Wechsel zum Kinder-Cartoon als „eine Art kranken Witz“.;-1,22;-2,06;-1,56;-2,33
Die Abteilung beruft sich darauf , dass die staatliche Polizeipolizei Louisiana forceforceorientiert , die staatliche Polizeikriminalität , die Polizeipolizei der Süduniversität und die Staatsbürgerinnen in den Ermittlungen , die zu Beginn des Wiederauffüllungsprozesses führen .;1,29;2,12;2,47;2,06
Rowlett sagte, dass einige Zeit nach Chambers' Tod, Tellis gelöscht Chambers 'Texte, Anrufe und Kontaktinformationen von seinem Telefon;1,47;1,80;2,00;2,13
Später bestätigte die Agentur , dass 70 Prozent der festgenommenen Personen keine Vorverurteilung im Strafrechtsregister vorgenommen haben .;-1,47;-1,07;-1,27;-1,87
„Es war keine gut durchdachte Entscheidung“, sagte sie 30 Jahre später mit einem Lachen zu mir.;-2,33;-2,13;-2,60;-2,47
Rosenstein steht in heißem Wasser, seit diese Zeitung berichtete, er habe im vergangenen Jahr vorgeschlagen, den Präsidenten heimlich aufzunehmen, und über seine Untauglichkeit für das Amt spekuliert.;-0,20;1,80;0,80;-0,33
Heute Nachmittag Freunde, die glauben, dass sie wissen, dass die Frau an der Szene angekommen ist, um Fragen zu stellen, wo sie heute morgen gefunden wurde.;1,93;2,40;2,33;1,87
Ronaldo, 33, sprach in einem Instagram-Live-Video zu seinen 142 Millionen Followern, nachdem die Behauptungen gemeldet worden waren.;-1,53;-1,93;-1,87;-2,33
Sie sind von Bau- und Entwicklungsarbeiten bedroht, die sich auf Quartiere und den Verlust von Lebensraum auswirken.;-2,00;-1,93;-2,20;-2,67
AMs im gesamten politischen Spektrum sind besorgt, dass es zum Spott einladen könnte.;-1,00;-1,33;-1,40;-1,80
Die Abteilung beruft sich darauf , dass die staatliche Polizeipolizei Louisiana forceforceorientiert , die staatliche Polizeikriminalität , die Polizeipolizei der Süduniversität und die Staatsbürgerinnen in den Ermittlungen , die zu Beginn des Wiederauffüllungsprozesses führen .;1,67;2,40;2,47;2,00
Er konnte sich nicht wegschälen, nicht mit Brett Kavanaugh, der sich dem Justizausschuss des Senats stellen wird und die Zukunft des Obersten Gerichtshofs in der Schwebe hängt.;0,80;1,20;1,47;1,33
Angesichts der Erde, die schütteln, dass Indonesien ständig übersteht, bleibt das Land kläglich unvorbereitet für den Zorn der Natur.;0,53;0,87;1,00;1,20
Zu den besten Zeiten ist die Reise zwischen den vielen Inseln indonesiens herausfordernd.;-2,20;-1,80;-1,87;-2,27
